Zip,Median,Pop
6371,70734,7546
6373,64500,345
6374,62599,8373
6375,72114,3660
6376,94583,57
6377,64500,2962
6378,81317,5399
6379,64043,9038
6380,51875,2862
6382,61471,11947
6384,73714,2672
6385,70585,15893
6387,69896,213
6389,70841,41
6390,66193,289
6401,55905,19237
6403,81214,6033
6405,73114,27860
6409,87480,693
6410,109266,29161
6412,80185,3994
6413,75328,13235
6414,86322,214
6415,93010,16857
6416,83209,14005
6417,65250,4629
6418,21949,6193
6419,99500,6525
6420,94975,4182
6422,105417,7388
6423,84881,5097
6424,87165,12808
6426,87480,3245
6437,100221,22375
6438,86179,2550
6441,86179,5438
6442,87480,2745
6443,108242,18269
6444,74671,370
6447,108232,6404
6450,57812,36493
6451,55010,24419
6455,80392,3148
6456,81586,295
6457,61247,47648
6460,75882,38207
6461,85922,14552
6467,74671,157
6468,109050,19479
6469,74867,3209
6470,113409,16003
6471,72098,7720
6472,91801,6853
6473,82993,24388
6475,78292,10242
6477,99808,13956
6478,107564,12683
6479,82358,10431
6480,87894,9508
6481,80392,1277
6482,106422,11557
6483,74432,16540
6484,83298,39559
6488,85449,19904
6489,75279,32067
6492,73757,45241
6498,61082,6963
6510,39877,2737
6511,38749,53600
6512,59713,29861
6513,40943,38978
6514,68112,26265
6515,50865,17141
6516,52565,55564
6517,71991,14853
6518,76569,19848
6519,30676,16428
6524,113720,5563
6525,126317,8990
6604,34905,30313
6605,36529,23397
6606,54154,46236
6607,33843,7843
6608,27565,13671
6610,38042,22735
6611,106365,36091
6612,145432,7453
6614,77092,32929
6615,56700,18453
6702,13814,3654
6704,33458,25139
6705,44223,27122
6706,42257,14324
6708,54204,29418
6710,40176,10715
6712,86948,9376
6716,79520,16680
6750,77128,1446
6751,82899,3577
6752,450,8
6754,84760,1699
6755,98611,1133
6756,76705,2853
6757,68481,2258
6758,81583,354
6759,78698,5720
6762,99823,7561
6763,81583,2033
6770,59494,31975
6776,87087,26889
6777,71321,1733
6778,82031,1378
6779,67700,8324
6782,74620,2376
6783,97768,2228
6784,114831,3689
6785,68481,686
6786,72693,9867
6787,66854,7975
6790,49748,36482
6791,91038,5666
6793,67869,1140
6794,68118,1065
6795,87401,14144
6796,78001,1009
6798,78628,9984
6801,87323,18581
6804,111156,16466
6807,151379,7150
6810,56766,49482
6811,93282,31400
6812,101566,13881
6820,184602,20732
6824,139688,33900
6825,103470,21123
6830,137453,24027
6831,144255,14792
6840,202067,19738
6850,85847,18078
6851,82817,26703
6853,147588,3646
6854,62026,29100
6855,80103,7892
6856,69045,3
6870,194605,7316
6877,141241,24677
6878,164722,8043
6880,154840,26647
6883,213124,10179
6890,169545,4306
6896,125642,9110
6897,160286,18071
6901,55121,6828
6902,67355,63406
6903,184570,14499
6905,92621,19649
6906,83119,9088
6907,82612,9016
7001,76615,16836
7002,54621,61841
7003,67950,47601
7004,97361,7029
7005,93586,15592
7006,108792,26231
7008,57338,20706
7009,96718,12358
7010,69247,22927
7011,53314,37338
7012,65757,11283
7013,76034,24990
7014,70340,4795
7016,104055,22578
7017,43643,39249
7018,38630,30594
7020,83530,7829
7021,181732,2154
7022,44907,13255
7023,127450,7145
7024,73336,35421
7026,51696,29850
7027,72254,4154
7028,159157,7348
7029,51730,16801
7030,96393,38577
7031,70502,15180
7032,60861,40512
7033,76500,7673
7034,76670,9328
7035,52878,6738
7036,56860,40907
7039,135253,27403
7040,113393,23979
7041,120852,6627
7042,88119,27032
7043,157381,12106
7044,92257,13567
7045,119421,9853
7046,154384,4295
7047,53821,58090
7050,42376,32754
7052,91631,44917
7054,82660,27521
7055,34291,67808
7057,58074,11583
7058,111581,5252
7059,141084,14263
7060,56605,43336
7062,55273,12911
7063,65909,12453
7064,72609,3819
7065,62392,26501
7066,82573,14598
7067,87694,18070
7068,100289,5297
7069,111785,5957
7070,87017,18111
7071,68387,19381
7072,62255,5917
7073,63991,8716
7074,53500,2749
7075,90071,7632
7076,119551,22720
7077,73534,2788
7078,205243,12918
7079,127396,17150
7080,94149,21789
7081,86490,14663
7082,133102,5186
7083,76472,50661
7086,60750,13501
7087,40749,67088
7088,53287,3526
7090,132953,29646
7092,116150,6643
7093,42930,56576
7094,81119,15931
7095,76614,18737
7102,31137,13096
7103,30901,30606
7104,33994,45737
7105,43412,44034
7106,46783,34115
7107,32831,35992
7108,29834,25006
7109,63190,35954
7110,79889,27386
7111,41922,60630
7112,39987,27039
7114,14570,8903
7201,46418,27865
7202,42027,37325
7203,57956,21275
7204,64822,13281
7205,56931,21736
7206,42323,23260
7208,52674,32113
7302,76967,31104
7304,40861,41745
7305,54392,58533
7306,41963,55565
7307,52343,46026
7310,107673,7065
7311,147739,17
7401,131563,6675
7405,110552,16725
7407,66977,18925
7410,93539,31638
7416,64251,5831
7417,162095,10421
7418,81886,2194
7419,75821,6831
7420,8909,515
7421,89212,7751
7422,80900,6925
7423,155030,4090
7424,73517,21847
7430,96955,24068
7432,87905,6948
7435,107381,2692
7436,112126,12465
7438,94316,11536
7439,78699,2658
7440,85368,4672
7442,87142,10640
7444,84587,9234
7446,115109,14360
7450,150933,24926
7452,139462,11569
7456,108299,12382
7457,86328,2485
7458,152462,10953
7460,80259,3641
7461,72685,19016
7462,82579,7331
7463,94034,9585
7465,86399,5253
7470,104063,54066
7480,90027,15916
7481,148340,16516
7501,23989,33500
7502,50458,14914
7503,36511,19191
7504,44975,13056
7505,18597,3892
7506,73102,18153
7508,76790,22017
7512,68249,9469
7513,41617,12818
7514,38480,18221
7522,32050,20482
7524,34767,13144
7601,57732,42679
7603,76022,8249
7604,89150,11662
7605,73198,8922
7606,74545,2184
7607,79852,9513
7608,64641,34
7620,172054,2182
7621,83370,26237
7624,114696,8382
7626,105625,7711
7627,147714,4845
7628,83132,17474
7630,99292,7145
7631,75427,26116
7632,101956,5335
7640,115875,4740
7641,135694,3391
7642,115878,10056
7643,57951,10801
7644,54592,23980
7645,111633,7045
7646,79378,16402
7647,87270,4844
7648,102117,5757
7649,124218,8047
7650,57135,17032
7652,108193,25739
7656,106646,8689
7657,60791,10830
7660,61928,12873
7661,97645,10946
7662,66341,5528
7663,82170,13152
7666,98855,39343
7670,125355,13871
7675,106536,25991
7676,112114,8920
7677,150404,5777
7701,76725,23144
7702,83922,3590
7703,57036,444
7704,112449,5971
7711,87373,1935
7712,57250,38749
7716,86309,8676
7717,83333,2244
7718,91278,6205
7719,79486,21995
7720,59792,4793
7721,71646,2557
7722,139891,9471
7723,89651,1523
7724,80517,23476
7726,87556,30892
7727,88230,6099
7728,85252,49764
7730,88623,17994
7731,92221,37811
7732,75644,5418
7733,144078,15749
7734,49908,14146
7735,63381,20714
7737,77200,4287
7738,126375,6191
7739,144299,6157
7740,52627,31658
7746,131241,17733
7747,92283,29140
7748,101680,28419
7750,94583,3604
7751,126204,16692
7753,61130,34159
7755,89587,6740
7756,37960,4262
7757,89881,5497
7758,93469,4842
7760,133203,9754
7762,82730,9218
7764,89820,8258
7801,64187,24525
7803,91667,3664
7820,82781,53
7821,98015,8941
7822,87589,853
7823,66113,7062
7825,85062,9219
7826,85973,5955
7827,65532,3824
7828,84118,12833
7830,61932,3766
7832,77911,3676
7833,76052,144
7834,103989,16870
7836,87771,12147
7838,80117,3121
7840,78240,26710
7842,122955,101
7843,88189,12678
7846,95179,60
7847,88934,1638
7848,92487,4699
7849,86575,7429
7850,80253,7052
7851,73906,112
7852,112518,2504
7853,115910,12938
7856,77940,3708
7857,59641,2982
7860,74356,25496
7863,69641,4218
7865,86109,2151
7866,96674,21610
7869,131123,24662
7870,125119,35
7871,114439,19259
7874,87295,9303
7876,107252,10957
7878,98036,1109
7880,89844,44
7881,73906,41
7882,74644,14228
7885,80687,9606
7901,135965,22066
7920,134134,24282
7921,88515,7864
7922,138590,12371
7924,128333,7161
7926,162125,129
7927,99089,3115
7928,134723,18148
7930,146683,8013
7931,144169,3323
7932,107465,8653
7933,113750,3290
7934,122861,1476
7935,147373,428
7936,108919,11388
7939,119911,539
7940,108845,16643
7945,137647,9419
7946,124984,3231
7950,105494,17528
7960,105186,42917
7961,98696,17
7970,162125,117
7974,116386,12003
7976,168365,663
7977,123875,438
7979,22195,90
7980,115025,2257
7981,102697,8392
8001,84844,527
8002,67229,20631
8003,106675,30721
8004,74310,12130
8005,64681,16845
8006,89632,683
8007,56053,5368
8008,72586,7863
8009,68368,10889
8010,56913,10587
8011,36765,43
8012,69443,39080
8014,87209,556
8015,65080,21053
8016,72300,30957
8019,70625,900
8020,98165,2141
8021,55858,45515
8022,84514,5225
8023,63124,356
8026,76538,2435
8027,63817,4870
8028,53538,20156
8029,59795,4935
8030,52210,13491
8031,55890,11623
8033,99236,16405
8034,86241,18576
8035,80247,7627
8036,87047,4011
8037,62817,22494
8038,66384,131
8039,106667,128
8041,85417,863
8042,85417,217
8043,93913,28123
8045,56006,2679
8046,67049,32968
8048,81636,10512
8049,55994,5432
8050,70134,20744
8051,75931,10211
8052,55067,19088
8053,89883,42277
8054,84700,40221
8055,110060,26424
8056,98204,2589
8057,121235,19291
8059,61919,5363
8060,69348,24252
8061,98295,734
8062,102201,11465
8063,65961,3256
8064,56360,239
8065,62707,7092
8066,49235,7351
8067,66016,1722
8068,51467,6734
8069,43621,12428
8070,58771,12938
8071,67160,9829
8072,65061,161
8073,89713,225
8074,93969,77
8075,72604,26374
8077,91737,17370
8078,53353,8396
8079,46613,12016
8080,84764,36440
8081,76311,43747
8083,70544,9684
8084,63028,7271
8085,89416,10848
8086,69373,6657
8087,57870,20242
8088,85362,24310
8089,73345,4164
8090,82200,8400
8091,61029,5288
8092,53401,3016
8093,52933,10057
8094,67379,32776
8095,77796,264
8096,65623,32649
8097,81311,3305
8098,76447,8325
8102,23719,9865
8103,27980,15898
8104,24631,24308
8105,31896,28164
8106,68551,10308
8107,53206,13515
8108,71671,18542
8109,62258,22787
8110,51599,18513
8201,65435,9167
8202,87552,2235
8203,65513,12595
8204,53551,19449
8205,68365,23816
8210,66351,15100
8212,52639,239
8215,59052,12495
8217,54730,35
8221,81559,7187
8223,74325,4203
8224,70625,491
8225,72079,7756
8226,57881,15376
8230,79584,5704
8232,40571,17964
8234,67705,30072
8241,63942,1034
8242,49817,2918
8243,54715,2836
8244,48775,11666
8246,86039,93
8247,68989,1205
8248,78906,174
8251,42216,9718
8260,41338,15343
8270,66842,8337
8302,38305,36458
8310,56160,1650
8311,70354,1859
8312,70299,6966
8317,61932,1274
8318,73631,12227
8319,61932,1125
8321,45250,275
8322,72934,9594
8326,53072,1447
8328,67279,1417
8330,61837,21735
8332,42668,30056
8340,39520,642
8341,53060,1826
8343,69460,4189
8344,64030,6378
8345,46093,763
8346,57308,809
8349,11127,618
8350,57308,804
8352,68571,470
8353,62472,534
8360,49040,40552
8361,69301,15613
8401,31112,40509
8402,70307,8194
8403,92697,1156
8406,51788,12919
8501,105793,4655
8502,145174,9232
8505,78971,14208
8510,127952,4276
8511,80916,714
8512,95747,10305
8514,101254,3449
8515,138129,5176
8518,69701,4932
8520,83115,24468
8525,127303,4900
8527,85067,42446
8528,110816,191
8530,86772,7302
8533,74894,6080
8534,129262,11628
8535,130572,4713
8536,88644,17773
8540,111142,42391
8542,89693,3952
8550,153681,17673
8551,106841,5283
8553,88929,643
8554,77706,3648
8555,136579,921
8558,159931,5312
8559,86891,4984
8560,107245,3438
8561,87703,262
8562,67329,6499
8608,22446,976
8609,37656,15001
8610,47801,22846
8611,35860,23398
8618,47842,40562
8619,75410,22638
8620,98799,12072
8628,78490,9321
8629,52331,11152
8638,51445,23119
8640,91284,7390
8641,53183,5116
8648,89945,27765
8690,87045,18645
8691,96594,11321
8701,40747,60357
8720,121375,695
8721,71737,17223
8722,78527,10379
8723,62116,31870
8724,68007,42959
8730,98419,4907
8731,68983,18563
8732,77269,1578
8733,62184,2962
8734,81393,6792
8735,60037,4450
8736,97819,12834
8738,81194,1354
8740,61250,2077
8741,75058,2354
8742,73737,26261
8750,93854,3912
8751,48024,4909
8752,40143,2926
8753,76929,63441
8755,67317,23050
8757,41884,33364
8758,74736,5123
8759,37305,30272
8801,122569,8160
8802,106882,3691
8804,108061,2479
8805,71287,12106
8807,111762,36568
8808,85893,30
8809,97898,6647
8810,103741,7187
8812,92130,12354
8816,101523,45528
8817,82959,45329
8820,111084,37546
8821,126411,336
8822,105614,28367
8823,97261,7297
8824,106729,11930
8825,91719,4828
8826,88978,5500
8827,96161,4964
8828,80690,1825
8829,90355,3824
8830,84221,16447
8831,76536,34468
8832,55684,2468
8833,83115,6067
8835,54982,10342
8836,135971,3710
8837,65787,14851
8840,97756,15703
8844,110492,36729
8846,77107,13720
8848,94075,8109
8850,92839,8333
8852,93959,14018
8853,128874,4953
8854,88165,50474
8857,88137,36503
8859,69461,20939
8861,47619,50026
8863,78784,12056
8865,59278,28974
8867,104602,4453
8869,70097,6339
8872,80293,18283
8873,85950,41649
8876,83109,19692
8879,65162,21054
8880,78427,4398
8882,65930,15322
8884,68218,7882
8886,99070,4843
8887,96583,1097
8889,123666,9341
8890,94875,27
8901,44193,48689
8902,79335,36562
8904,75938,13997
10001,71245,17678
10002,30844,70878
10003,89999,53609
10004,110184,1271
10005,115133,1517
10006,111220,972
10007,145459,3520
10009,56615,56975
10010,93702,27322
10011,92359,45899
10012,81317,26464
10013,69836,24723
10014,98450,32867
10016,96760,49904
10017,102524,16231
10018,84799,4255
10019,84786,39048
10020,113846,1
10021,113800,44173
10022,93107,26460
10023,108286,59002
10024,110999,61485
10025,65001,96117
10026,31542,25925
10027,38550,57049
10028,105456,40914
10029,32877,76271
10030,28525,26058
10031,31526,59450
10032,29536,54744
10033,36463,59049
10034,37866,37785
10035,23302,31078
10036,62393,18660
10037,40080,16994
10038,55937,15435
10039,28692,21738
10040,37107,46585
10044,102486,9519
10065,108155,31500
10069,54236,1843
10075,112268,25187
10110,36906,33
10128,105187,59434
10162,72258,1726
10165,85565,7
10170,104023,1
10171,104023,1
10199,84276,10
10278,104405,2
10280,98938,4298
10301,56776,38618
10302,59919,16580
10303,54758,22842
10304,46260,36662
10305,58938,37014
10306,75212,54812
10307,92781,11662
10308,75668,23972
10309,84917,27255
10310,65263,22793
10312,84524,55963
10314,78414,85260
10451,22970,37570
10452,27673,71254
10453,26324,77913
10454,18024,30078
10455,22829,37013
10456,21955,75975
10457,25474,68492
10458,25642,77840
10459,22843,38847
10460,23645,53752
10461,47716,48081
10462,46085,71130
10463,52302,62456
10464,1520,109
10465,61446,41282
10466,48470,68662
10467,35375,94492
10468,28765,76073
10469,57183,63256
10470,53208,15778
10471,56910,18127
10472,32632,64864
10473,36132,52624
10474,24244,11365
10475,47895,38149
10501,156900,1134
10502,123763,5184
10503,115875,109
10504,171989,7139
10505,123682,185
10506,186803,5506
10507,67031,5855
10509,85832,18988
10510,175217,9727
10511,88453,2213
10512,94768,23865
10514,189957,11974
10516,77414,5202
10517,76820,422
10518,163441,954
10519,137961,392
10520,95299,12434
10522,107195,10636
10523,80390,7710
10524,83074,4260
10526,158977,1675
10527,158207,895
10528,131616,12301
10530,105377,13240
10532,91259,5895
10533,113451,7547
10535,106333,454
10536,131968,11160
10537,86493,1783
10538,150774,16321
10541,95198,26329
10543,94724,20016
10545,112917,134
10546,176042,1243
10547,86362,7332
10548,82778,3027
10549,107169,15655
10550,42807,37904
10552,67770,19937
10553,56382,10435
10560,139313,4659
10562,84560,30926
10566,56245,22450
10567,108723,18741
10570,132183,12561
10573,73394,36472
10576,219554,4764
10577,193533,3419
10578,134186,764
10579,92600,8097
10580,161992,16560
10583,177857,38273
10588,88148,1914
10589,96884,7404
10590,149131,6755
10591,86347,21538
10594,110169,5038
10595,88432,7552
10596,85121,778
10597,162875,920
10598,107925,29337
10601,57212,9319
10603,84012,15421
10604,87092,10782
10605,113684,17347
10606,63803,15706
10607,99337,6924
10701,44417,61035
10703,54745,20903
10704,63087,30497
10705,36094,27216
10706,138152,8664
10707,97931,9712
10708,127637,21427
10709,96536,8888
10710,80118,25538
10801,58707,36356
10803,137572,11892
10804,158924,14322
10805,29677,11633
10901,86843,22177
10910,78571,42
10913,106055,5149
10914,82100,452
10915,82773,113
10916,105269,3887
10917,103897,1720
10918,88168,11572
10919,76796,783
10920,95166,8649
10921,84742,3804
10922,75547,1480
10923,80267,8256
10924,84649,12319
10925,74809,4870
10926,84067,2901
10927,46499,10121
10928,66151,3881
10930,104131,7253
10931,87257,1045
10932,76397,49
10933,85941,389
10940,57731,42813
10941,67488,12765
10950,65251,38803
10952,66193,31623
10953,66650,248
10954,93219,22066
10956,114523,32030
10958,100108,2916
10960,78145,14569
10962,117728,5329
10963,76427,4195
10964,79958,1384
10965,103487,14569
10968,92045,2408
10969,80186,1195
10970,89426,9366
10973,95946,2016
10974,87353,3048
10975,78571,359
10976,87986,2001
10977,67394,48755
10979,74809,264
10980,66696,9534
10983,91703,5646
10984,105625,2815
10985,82773,57
10987,78462,3003
10988,85941,751
10989,85642,9345
10990,91662,19282
10992,89904,8880
10993,54508,4710
10994,106989,7246
10996,92841,7122
10998,86132,2453
11001,96705,26707
11003,78863,40973
11004,75304,13390
11005,57104,2195
11010,82519,23829
11020,117295,5733
11021,100154,17512
11023,93125,8593
11024,121655,7993
11030,169390,17033
11040,98762,39784
11042,144293,514
11050,114602,28714
11096,55026,7976
11101,39955,22556
11102,48399,35943
11103,52495,44730
11104,50944,29376
11105,54570,42375
11106,44031,40963
11109,117750,843
11201,92175,48101
11203,47788,78886
11204,42764,74185
11205,42904,35648
11206,26440,69454
11207,34729,87324
11208,33876,84692
11209,56907,69646
11210,55001,67349
11211,37632,84434
11212,27911,85400
11213,35085,65932
11214,35964,78896
11215,81331,59307
11216,37290,55021
11217,72611,35641
11218,48011,75418
11219,34970,85825
11220,37030,92398
11221,34005,75020
11222,54367,40003
11223,39421,74659
11224,34958,49491
11225,39782,61858
11226,38763,106461
11228,55200,40169
11229,49911,80407
11230,47496,88449
11231,73075,33174
11232,34808,22177
11233,35423,63541
11234,67953,81033
11235,44730,79197
11236,59568,94098
11237,35355,48837
11238,61469,49085
11239,24882,14621
11354,50019,54286
11355,38624,74434
11356,67808,20443
11357,74097,39650
11358,66312,37044
11360,72854,18363
11361,70983,28648
11362,74827,17509
11363,92955,6849
11364,65777,32272
11365,61097,37503
11366,76377,13795
11367,53565,39791
11368,43963,95662
11369,54732,37429
11370,37574,28920
11372,48149,70946
11373,44301,99884
11374,49708,39224
11375,69446,70142
11377,49979,87015
11378,59363,33487
11379,61824,33886
11385,47470,95262
11411,69132,17909
11412,67396,36433
11413,77058,39571
11414,70965,28120
11415,55983,19423
11416,46713,21053
11417,56103,28748
11418,57063,36587
11419,49705,44065
11420,55056,41750
11421,55094,37664
11422,68823,26308
11423,64756,31575
11424,61900,467
11425,70284,26
11426,74452,17445
11427,57224,21275
11428,71127,20923
11429,72714,27816
11430,50483,197
11432,50291,54915
11433,41780,28391
11434,51641,52603
11435,44722,47317
11436,62297,18291
11501,78423,19466
11507,103384,7526
11509,106773,2852
11510,99077,32552
11514,84511,4904
11516,93264,6997
11518,89715,11158
11520,68768,44329
11530,127418,26753
11542,77618,27205
11545,152909,12081
11547,114409,644
11548,213520,2445
11550,57385,58967
11552,93065,23354
11553,71093,23540
11554,87598,37455
11556,73445,13
11557,113487,8053
11558,85183,8553
11559,112233,8100
11560,102206,6812
11561,85039,39648
11563,87861,23227
11565,115184,9088
